"uar_id","査定依頼日時","入札開始日時","落札日","メーカー","車種","型式タイプ","型式グレード","マスタ年式","年式","査定入力モデル","査定入力グレード","走行距離","事故修理_コード","事故修理_表示","事故歴","修理歴","事故修理_詳細","愛車の説明","落札価格","入札1位_入札額","入札1位_上限入札額","入札2位_入札額","入札2位_上限入札額","入札3位_入札額","入札3位_上限入札額","入札4位_入札額","入札4位_上限入札額","入札5位_入札額","入札5位_上限入札額"
"37904","2026-01-26 00:46:21.405","2026-02-23 11:07:00.000","2026-03-01 18:49:04.822","トヨタ","アクア",,,"2013","平成25年5月","DAA-NHP10","Ｓ","104297","NO","なし","false","false",,"純正カーナビ、etc付き、スタッドレスタイヤ装着

フロントバンパー：縁石に接触し割れ有
リアバンパー：積荷下ろす際に当たり凹み
リアバンパー(ホイール付近)：柱接触時に凹み
ルーフ：コーティング剥がれ
こちら画像の詳細になります。","171000","171000","176000","139000",,"100000",,"100000","135000","70000",
"38571","2026-01-30 23:31:37.149","2026-02-28 14:06:00.000","2026-03-05 16:49:19.751","トヨタ","マークIIブリット",,,"2004","平成１４年４月","TA-JZX110W","２．５ｉＲ－Ｓ","185184","ACCIDENT","事故歴あり","true","false","直進時、左からの右折車と衝突し、左前方破損。バンパー交換、ホイールアライメント調査済み。","現在スタッドレスタイヤを履いていて、ノーマルはアルミホイールを履いています。前後でのホイールのサイズが違います。山はほとんど残っていません。後方タイヤが１つパンクしていて、ノーマルに戻す際は、交換しなければなりません。
ナビは10年以上前の物で、KENWOOD製です。スピーカーは、たぶん社外の物ではないかと思われます。","210000","210000","230000","198000","200000","130000","180000","80000","116000","80000","135000"
"38572","2026-01-30 23:53:58.701","2026-02-14 11:52:00.000","2026-03-03 13:46:06.949","ジープ","ジープ・ラングラー",,,"2004","平成14年8月","GH-TJ40S","ソフトトップ","35212","NO","なし","false","false","","リフトアップ、ホイール、レカロシートなど各種にカスタム多数あります。","700000","859000",,"600000","700000","600000",,"530000","537000","300000",
"38696","2026-01-31 19:22:39.181","2026-02-28 17:30:00.000","2026-03-13 09:25:40.537","三菱","デリカＤ：５",,,"2023","令和5年4月","3DA-CV1W","Ｐ","19938","NO","なし","false","false","","三菱純正ブラックアウトグリル、ブラックアウトクリアランスランプガーニッシュ、ブラックアウトフォグランプガーニッシュなどカスタムしております。
内装では、アルパイン製後席フリップダウンモニター、純正サイドカーテンを装備しております。
運転席ドア、助手席側スライドドアにドアパンチによるヘコミがあります。","3970000","3880000","3965000","3815000",,"3650000","3899000","3500000","3600000","3500000","3683000"
"38915","2026-02-02 00:43:11.641","2026-02-24 11:42:00.000","2026-03-01 16:34:13.682","ホンダ","ジェイド",,,"2015","平成27年5月","DAA-FR4","ＨＹＢＲＩＤ Ｘ","115234","ACCIDENT","事故歴あり","true","false","軽い接触事故により助手席側の後部ドアを交換。

修復箇所は助手席側の後部ドアを全交換と給油口下付近を板金処理。
低速での接触でしたのでフレームまでは修復不要でした。
申し訳ございませんが見積りは手元にありません。","アルミホイールを後期型純正18インチホイールへ変更。
純正オプションのアドバンスドルームミラーを取付。
ドアバイザーに無限バイザーを取付。
リアバンパー下部パーツを後期型へ変更。
ウィンドウスイッチパネルを後期型のピアノブラックへ変更。
灯火類全てLEDへ変更。

エンジンは特に問題ございません。(快調)
ディーラーの定期点検パックに加入しており、11月頃の点検でバッテリーが劣化していたので新品に交換済みです。","300000","250000","313000","200000","247000","200000","250000","165000",,"150000",
"39184","2026-02-04 10:25:59.821","2026-03-02 16:37:00.000","2026-03-05 11:16:08.425","スズキ","キャリイトラック",,,"2009","平成21年12月","EBD-DA63T","KUエアコン・パワステ(地区限定車)","118714","NO","なし","false","false","","フロントガラスに亀裂があります。
(写真参照)
4WD車です。","150000","151000","152000","130000","150000","60000","80000","50000","52000","40000","85000"
"39244","2026-02-04 19:34:32.239","2026-02-23 17:15:00.000","2026-03-03 12:50:29.787","レクサス","ＮＸ",,,"2023","令和5年3月","5BA-AAZA20","車名	 ＮＸ２５０ 仕様	バージョンＬ","9230","NO","なし","false","false","","アルミ　プレミアムメタリック塗装　デジタルキー
デジタルインナーミラー　ムーンルーフ　ドライブレコーダー（ゼンコウホウガタ）カップホルダーイルミネーション　ナンバーフレームロックボルト","5100000","5190000","5245000","5000000","5100000","4800000","4825000","4600000","4929000","1000000","1100000"
"39330","2026-02-05 14:47:28.436","2026-03-02 19:30:00.000","2026-03-05 17:02:07.152","ホンダ","フリード",,,"2008","平成22年3月","DBA-GB3","Ｇ　ジャストセレクション　FF","86765","NO","なし","false","false","","去年9月まで父が所有しておりましたが、亡くなってしまい、妻名義で登録しました
妻の名義にしてから2回しか乗っておりません

ホイールはフロントはRays、リアはwedsになります
また助手席側のパワースライドですが、ワイヤーが切れてしまっている為、現在は手動で開け閉めしている状態です","100000","100000","210000","10000","35000",,,,,,
"39478","2026-02-06 19:49:23.261","2026-02-22 15:36:00.000","2026-03-03 09:44:17.233","トヨタ","ヤリスクロス",,,"2023","令和6年5月","5BA-MXPB10","Ｚ","9601","NO","なし","false","false","","z ガソリングレード
モデリスタエアロ付
モデリスタインテリアパネル付
サードパーティ製　シフトブーツ　ハンドルインテリアパネル　アルミスカッフプレート　ラゲッジスカッフプレート　フロアマット　トランクマット付
トランクライト　ルームランプ　LED化
運転手助手席ドリンクホルダー付
前後ドライブレコーダー付
デジタルインナーミラー付","2278000","2278000","2388000","2250000","2290000","2220000",,"2125000",,"2110000","2175000"
"39617","2026-02-07 18:10:52.550","2026-02-26 11:29:00.000","2026-03-03 09:47:10.497","マツダ","ＣＸ－３０",,,"2019","令和2年3月","5BA-DMEP","２０Ｓ　ＰＲＯＡＣＴＩＶＥ　Ｔｏｕｒｉｎｇ　Ｓｅｌｅｃｔｉｏｎ","25460","NO","なし","false","false","","車両右後方に凹みあり
","1500000","1438000","1538000","1360000","1415000","1351000","1450000","1100000","1250000","1055000",
"39802","2026-02-08 15:58:19.977","2026-02-21 15:27:00.000","2026-03-03 19:16:58.038","スバル","フォレスター",,,"2014","平成26年2月","DBA-SJ5","２．０ｉ－Ｌ　ＥｙｅＳｉｇｈｔ　特別仕様車　Ｘ－ＢＲＥＡＫ AWD","139745","REPAIR","修理歴あり","false","true","電柱と接触し破損したため、右サイドミラーを全取り換え。","全体的にかなり使用感があり、特に運転席シートの劣化が激しいです。不動車ではありませんが、エンジンオイル漏れが4箇所あり、その影響で走行中にセンサー類のエラーを伝えるアラートが全て光ります。エンジンは問題なくかかります。","400000","425000",,"420000","440000","410000","475000","370000","425000","200000","355000"
"39857","2026-02-08 19:51:33.632","2026-03-12 14:17:00.000","2026-03-16 14:03:24.581","ホンダ","ヴェゼル",,,"2022","令和4年1月","6AA-RV5","e:HEV PLaY","36102","NO","なし","false","false","","HONDA VEZEL e:HEV PLaY
プレミアムサンライトホワイトパール/ブラック

【オプション・カスタム・純正パーツ有無】

純正オプション

フロアマットプレミアム　
フロントグリル交換　
ドライブレコーダー　
FGエンブレム（ブラック）　
エキパイフィニシャー　
ガラスコーティング　
ライセンスフレーム
機能照明パッケージ　
センターコンソールイルミネーション　


社外品
TVキャンセラー取付

【エンジンの状態（異音・警告灯など）】
とくになし


【傷・凹みの補足（箇所・大きさ）】
運転席シートに破れあり（写真参照）","2456000","2400000","2456000","2000000",,"1800000","2209000","1000000","1100000","0","2440000"
"39867","2026-02-08 20:44:37.293","2026-02-11 15:57:00.000","2026-03-08 19:17:00.718","スバル","レガシィツーリングワゴン",,,"2005","平成１７年３月","CBA-BP5","２．０ｉ　ＡＬＣＡＮＴＡＲＡ　ＳＥＬＥＣＴＩＯＮ","126903","NO","なし","false","false","","ホイールは社外品に変更。Tベルト交換済み","101000","101000",,"100000",,"85000","99000","80000",,"78000",
"40128","2026-02-10 21:23:32.664","2026-02-27 11:05:00.000","2026-03-21 16:46:22.620","トヨタ","カローラフィールダー",,,"2009","平成22年9月","DBA-NZE141G","ベースグレード「１．５Ｘ」の特別仕様車「Ｘ　ＨＩＤリミテッド」","126992","NO","なし","false","false",,"走行距離がかなりありますが問題なく走ります。
昨年バッテリーを交換しました。

チェックランプについて：一時的なものなので問題ありません。
エンジンは快調です。

喫煙歴について：色移り、ニオイ等はないかと思います。

車体右後方にバック時にぶつけた跡があります。
車体左前方に傷があります。","260000","240000","300000","230000","268000","210000","288000","197000","203000","190000",
"40322","2026-02-12 08:34:33.156","2026-02-27 13:40:00.000","2026-03-04 11:32:54.176","ホンダ","ヴェゼル",,,"2014","平成26年5月","DAA-RU4","ＨＹＢＲＩＤ　Ｘ・Ｌパッケージ","94506","NO","なし","false","false","","Honda純正、Moduloのエアロを装着した４WDのハイブリッド車、グレード専用ホイール、ルーフレール付きで販売当時のカタログでは4WD車の上級モデル、当時のヴェゼル全モデル中の最高販売価格車です。
ホンダ正規ディーラーの認定中古車で2017年に購入、購入当時のAISマークのついた認定評価書があり、今現在まで事故・修理歴はございません。
禁煙車です。ペットいません。
その他、純正のアクセサリーがついています。
キャンプ、夜釣りに便利なよう、後付けでエーモンのLEDルームランプをリアハッチに増設しています。非常に明るくノーマルのラゲッジルームランプと連動しますし、別にスイッチもついています。
取扱説明書等は個々のオプション部品にいたるまですべてそろっております。

エンジンオイル、エアクリ、ブレーキフルード、エンジンオイルフィルタ、ディファレンシャルオイル等消耗品はホンダのアプリの指示通りの間隔で交換しています。
ボディコート、窓ガラスコートを6ヶ月ごとに行い、月に１回以上の洗車を行っていました。
ほとんどの期間は土日休日使用でしたが、昨年の１０月からは往復２２㎞の通勤に使用しています。
※　売却時取り外す装備：ドライブレコーダーのマイクロＳＤカード、車載ジャッキ、ホイールナットレンチ、ジャッキハンドルバー
※　傷等の状態：フロントアンダースカートの左前のかど、右前の下面にガリ傷がありますが、割れてはいません。
フロント下部のデイライトのLEDが左右対称に３個ずつ点灯しません。
全体的には綺麗な方だと思いますが、各ドアやリアハッチの開口部に経年使用によるスレはあります。
引き渡しは３月７日の夕方から３月８日を希望します。
以上、どうぞよろしくお願いいたします。","740000","730000",,"608000",,"600000","650000","550000","600000","520000","605000"
